City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,nichinan,31.6,131.3667,299.68,91,100,9.09,JP,1724791825
142,uturoa,-16.7333,-151.4333,297.85,73,65,7.92,PF,1724791826
143,patterson,37.4716,-121.1297,310.34,11,0,2.7,US,1724791595
144,weno,7.4515,151.8468,299.12,89,40,2.06,FM,1724791829
145,port mathurin,-19.6833,63.4167,294.18,66,99,13.14,MU,1724791830
146,tazovsky,67.4667,78.7,284.24,91,100,3.19,RU,1724791555
147,northam,51.0333,-4.2167,289.6,92,100,4.54,GB,1724791564
148,avarua,-21.2078,-159.775,297.18,88,100,6.17,CK,1724791833
149,tampakan,6.4442,124.9264,296.68,94,60,0.63,PH,1724791834
150,saudarkrokur,65.7461,-19.6394,280.58,85,100,1.34,IS,1724791835
151,finote selam,10.7,37.2667,288.27,98,100,0.57,ET,1724791837
152,edinburgh of the seven seas,-37.0676,-12.3116,284.81,73,100,11.61,SH,1724791838
153,cill airne,52.05,-9.5167,287.56,95,43,2.05,IE,1724791839
154,mejit,10.2753,170.8646,301.85,79,98,6.69,MH,1724791840
155,busembatia,0.7697,33.6131,291.75,86,5,2.9,UG,1724791841
156,severo-yeniseyskiy,60.3725,93.0408,284.03,99,99,1.22,RU,1724791843
157,st. john's,47.5649,-52.7093,293.86,67,75,5.14,CA,1724791845
158,xylokastro,38.0776,22.6317,297.59,41,0,0.89,GR,1724791846
159,klyuchi,52.2667,79.1667,288.45,68,83,0.9,RU,1724791847
160,jamestown,42.097,-79.2353,304.83,45,0,6.17,US,1724791590
161,yuzhno-kurilsk,44.0306,145.8556,291.16,98,100,3.41,RU,1724791849
162,greymouth,-42.4667,171.2,282.83,90,19,1.79,NZ,1724791659
163,kathmandu,27.7167,85.3167,295.27,100,75,1.03,NP,1724791853
164,lahaina,20.8783,-156.6825,301.15,70,10,3.42,US,1724791854
165,mammoth lakes,37.6485,-118.9721,298.6,14,0,5.66,US,1724791855
166,wotho,10.1657,166.0102,301.7,81,100,7.97,MH,1724791856
167,freetown,8.484,-13.2299,298.79,91,100,4.25,SL,1724791857
168,dakhla,23.6848,-15.958,295.16,83,63,8.23,EH,1724791858
169,zapolyarnyy,69.4154,30.8136,284.17,70,80,13.69,RU,1724791859
170,carauari,-4.8828,-66.8958,309.34,25,4,0.89,BR,1724791860
171,badger,64.8,-147.5333,291.47,46,75,5.14,US,1724791862
172,aoulef,26.9667,1.0833,312.33,13,88,2.97,DZ,1724791863
173,namibe,-15.1961,12.1522,290.89,84,67,1.14,AO,1724791865
174,taltal,-25.4,-70.4833,289.07,69,18,2.27,CL,1724791631
175,guarapari,-20.6667,-40.4975,291.83,68,20,3.8,BR,1724791867
176,shahr-e babak,30.1165,55.1186,299.91,16,0,8.23,IR,1724791868
177,polyarnyy,69.1989,33.4478,285.69,63,88,12.0,RU,1724791869
178,north bend,43.4065,-124.2243,297.18,61,25,9.18,US,1724791871
179,port lincoln,-34.7333,135.8667,285.9,62,2,9.61,AU,1724791872
180,vilyuchinsk,52.9306,158.4028,285.3,83,100,1.36,RU,1724791873
181,vondrozo,-22.8167,47.2833,289.59,91,94,2.45,MG,1724791874
182,mochudi,-24.4167,26.15,292.48,17,0,3.04,BW,1724791875
183,nikolayevsk-on-amure,53.1406,140.73,288.1,93,70,1.37,RU,1724791876
184,kralendijk,12.15,-68.2667,306.14,58,20,6.17,BQ,1724791518
